timestamp,total_system_cpu_percent,total_system_memory_percent,network_bytes_sent,network_bytes_recv,app_A_cpu_percent,app_A_memory_percent,app_B_cpu_percent,app_B_memory_percent
2025-11-14 00:58:32.279310,9.2,53.6,135862819,1786380181,0.0,0.0,42.699999999999996,6.635031179341213
2025-11-14 00:58:34.289385,6.9,53.6,135870432,1786389602,0.0,0.0,49.599999999999994,6.592207108993824
2025-11-14 00:58:36.302626,7.7,53.6,135871511,1786389976,0.0,0.0,28.099999999999998,6.641991019576965
2025-11-14 00:58:38.313593,11.5,53.7,135873457,1786390618,0.0,0.0,35.7,6.621953614770118
2025-11-14 00:58:40.325757,6.8,53.6,135874933,1786391350,0.0,0.0,32.5,6.635377932947264
2025-11-14 00:58:42.338149,6.2,53.6,135876675,1786391952,0.0,0.0,34.2,6.617049528055959
2025-11-14 00:58:44.350804,11.9,53.6,135879399,1786394661,0.0,0.0,60.5,6.645384251293329
2025-11-14 00:58:46.362649,7.7,53.6,135880748,1786395171,0.0,0.0,41.400000000000006,6.625668831977816
2025-11-14 00:58:48.372426,8.2,53.6,135882502,1786395791,0.0,0.0,35.6,6.638052889336807
2025-11-14 00:58:50.382443,8.4,53.6,135883852,1786396461,0.0,0.0,54.7,6.626659556566535
2025-11-14 00:58:52.393441,6.1,53.6,135890793,1786410698,0.0,0.0,37.300000000000004,6.641297512364862
2025-11-14 00:58:54.403082,6.0,53.6,135892137,1786415500,0.0,0.0,38.0,6.621705933622939
2025-11-14 00:58:56.413161,5.4,53.6,135892636,1786422613,0.0,0.0,34.4,6.634337672129109
2025-11-14 00:58:58.422655,6.1,53.6,135893338,1786422927,0.0,0.0,41.2,6.6157863542053414
2025-11-14 00:59:00.433169,8.9,53.7,135900536,1786430292,0.0,0.0,54.300000000000004,6.679390872801118
2025-11-14 00:59:02.444551,8.1,53.6,135908323,1786434825,0.0,0.0,46.1,6.670944945682287
2025-11-14 00:59:04.454869,8.1,53.6,135910022,1786435720,0.0,0.0,36.4,6.666833438639102
2025-11-14 00:59:06.465062,13.9,53.6,135939495,1786471620,0.0,0.0,137.20000000000002,6.758178245719017
2025-11-14 00:59:08.475684,8.6,53.7,135948373,1786479550,0.0,0.0,50.7,6.786512968956388
2025-11-14 00:59:10.486401,6.8,53.7,135955058,1786480721,0.0,0.0,37.300000000000004,6.7605064485025075
2025-11-14 00:59:12.495711,7.8,53.7,136250364,1807260244,0.0,0.0,42.7,6.700716219573299
2025-11-14 00:59:14.506538,6.0,53.7,136251456,1807260993,0.0,0.0,36.7,6.694350814090779
2025-11-14 00:59:16.516302,7.4,53.7,136252211,1807261248,0.0,0.0,55.8,6.687514814428616
2025-11-14 00:59:18.529267,6.9,53.6,136253581,1807261675,0.0,0.0,38.8,6.686647930413487
2025-11-14 00:59:20.540451,10.4,53.6,136255142,1807262630,0.0,0.0,41.8,6.683502379844303
2025-11-14 00:59:22.551196,8.0,53.6,136257198,1807263192,0.0,0.0,43.8,6.682635495829174
2025-11-14 00:59:24.563745,6.3,53.5,136257771,1807264077,0.0,0.0,35.0,6.683774829106201
2025-11-14 00:59:26.576937,8.5,53.6,136258711,1807264410,0.0,0.0,62.0,6.689694408523798
2025-11-14 00:59:28.590091,7.0,53.6,136260059,1807265078,0.0,0.0,40.4,6.678127698950501
2025-11-14 00:59:30.601858,5.3,53.5,136261408,1807265532,0.0,0.0,30.3,6.677582800426705
2025-11-14 00:59:32.614573,7.9,53.5,136262915,1807266116,0.0,0.0,36.5,6.678325843868245
2025-11-14 00:59:34.626772,9.8,53.5,136267499,1807273991,0.0,0.0,63.300000000000004,6.687192828937282
2025-11-14 00:59:36.637812,7.0,53.5,136268942,1807274656,0.0,0.0,36.5,6.651923033578876
2025-11-14 00:59:38.649635,7.2,53.6,136275685,1807279658,0.0,0.0,34.99999999999999,6.681842916158199
2025-11-14 00:59:40.659429,5.8,53.6,136276857,1807280295,0.0,0.0,36.0,6.65224501907021
2025-11-14 00:59:42.671504,5.6,53.6,136278463,1807281459,0.0,0.0,34.9,6.682610727714455
2025-11-14 00:59:44.684039,7.6,53.5,136278761,1807281920,0.0,0.0,57.4,6.653210975544211
2025-11-14 00:59:46.695739,6.0,53.6,136278950,1807282436,0.0,0.0,35.800000000000004,6.686920379675384
2025-11-14 00:59:48.706553,8.7,53.5,136279681,1807283485,0.0,0.0,46.8,6.652666077020416
2025-11-14 00:59:50.717242,8.9,53.6,136279681,1807283485,0.0,0.0,41.9,6.6817438436993255
2025-11-14 00:59:52.729910,9.9,53.5,136280387,1807283746,0.0,0.0,64.3,6.653334816117801
2025-11-14 00:59:54.742679,6.8,53.6,136280534,1807284053,0.0,0.0,32.6,6.681793379928761
2025-11-14 00:59:56.754954,6.4,53.5,136281160,1807284212,0.0,0.0,35.7,6.65125429448149
2025-11-14 00:59:58.767928,6.6,53.5,136281863,1807284764,0.0,0.0,33.6,6.681000800257786
2025-11-14 01:00:00.777661,7.5,53.5,136284731,1807284960,0.0,0.0,38.0,6.651551511858106
2025-11-14 01:00:02.789937,7.9,53.5,136289159,1807288949,0.0,0.0,54.3,6.688728452049797
2025-11-14 01:00:04.802591,5.5,53.5,136289360,1807290746,0.0,0.0,36.4,6.692939031551853
2025-11-14 01:00:06.814783,5.5,53.5,136289507,1807291059,0.0,0.0,35.9,6.6785239887859875
2025-11-14 01:00:08.827043,7.4,53.5,136294261,1807299480,0.0,0.0,39.6,6.678598293130142
2025-11-14 01:00:10.839206,7.3,53.5,136294631,1807299708,0.0,0.0,55.1,6.686796539101793
2025-11-14 01:00:12.851505,6.2,53.5,136296079,1807300440,0.0,0.0,34.9,6.689099973770566
2025-11-14 01:00:14.862164,7.1,53.5,136297040,1807300942,0.0,0.0,40.7,6.682214437878966
2025-11-14 01:00:16.874879,6.5,53.5,136297187,1807301035,0.0,0.0,27.1,6.682338278452557
2025-11-14 01:00:18.887299,7.6,53.5,136298828,1807301740,0.0,0.0,38.1,6.6781276989505
2025-11-14 01:00:20.900152,9.1,53.5,136299583,1807302065,0.0,0.0,56.599999999999994,6.689471495491335
2025-11-14 01:00:22.912036,5.5,53.5,136300232,1807302260,0.0,0.0,36.5,6.681644771240452
2025-11-14 01:00:24.925066,6.4,53.5,136300542,1807302693,0.0,0.0,36.7,6.6825364233703
2025-11-14 01:00:26.937229,7.2,53.5,136300744,1807302930,0.0,0.0,44.2,6.682065829190658
2025-11-14 01:00:28.950085,6.6,53.5,136301489,1807303523,0.0,0.0,34.1,6.6817438436993255
2025-11-14 01:00:30.962565,7.2,53.5,136301489,1807303523,0.0,0.0,55.1,6.687539582543334
2025-11-14 01:00:32.975161,7.8,53.5,136302139,1807303778,0.0,0.0,38.0,6.688233089755437
2025-11-14 01:00:34.987498,6.2,53.5,136306221,1807311595,0.0,0.0,33.5,6.679291800342246
2025-11-14 01:00:37.000366,8.9,53.5,136307715,1807312144,0.0,0.0,43.5,6.681372321978556
2025-11-14 01:00:39.011396,13.1,53.5,136322434,1807330273,0.0,0.0,64.39999999999999,6.6946975676968306
2025-11-14 01:00:41.022606,6.0,53.5,136325625,1807331331,0.0,0.0,40.300000000000004,6.684245423285842
2025-11-14 01:00:43.033551,7.6,53.4,136328244,1807333860,0.0,0.0,43.0,6.691353872209903
2025-11-14 01:00:45.043559,8.4,53.5,136329741,1807334598,0.0,0.0,55.8,6.700493306540838
2025-11-14 01:00:47.056340,7.5,53.5,136330590,1807334950,0.0,0.0,37.2,6.698066031298476
2025-11-14 01:00:49.068641,7.0,53.5,136331408,1807335461,0.0,0.0,42.699999999999996,6.697793582036578
2025-11-14 01:00:51.080974,6.0,53.5,136345357,1807354982,0.0,0.0,39.8,6.692443669257495
2025-11-14 01:00:53.092878,7.7,53.5,136348751,1807356629,0.0,0.0,36.5,6.692072147536725
2025-11-14 01:00:55.105239,7.1,53.5,136349767,1807357251,0.0,0.0,63.7,6.694573727123241
2025-11-14 01:00:57.117460,6.7,53.5,136350823,1807357681,0.0,0.0,37.3,6.694152669173035
2025-11-14 01:00:59.130221,6.6,53.5,136352768,1807358386,0.0,0.0,38.0,6.660938627336221
2025-11-14 01:01:01.140925,6.3,53.5,136354170,1807359228,0.0,0.0,33.6,6.690338379506465
2025-11-14 01:01:03.153622,6.6,53.4,136354819,1807359423,0.0,0.0,47.3,6.663935569217096
2025-11-14 01:01:05.166986,6.5,53.4,136354966,1807359730,0.0,0.0,37.2,6.696183654579908
2025-11-14 01:01:07.180164,5.0,53.4,136355221,1807360021,0.0,0.0,27.2,6.661310149056991
2025-11-14 01:01:09.189344,9.2,53.4,136357616,1807361211,0.0,0.0,52.3,6.690486988194773
2025-11-14 01:01:11.201891,5.4,53.4,136357671,1807361419,0.0,0.0,37.2,6.657594931849294
2025-11-14 01:01:13.214332,9.1,53.4,136359173,1807362004,0.0,0.0,57.400000000000006,6.696059814006319
2025-11-14 01:01:15.227178,8.9,53.4,136360727,1807362701,0.0,0.0,43.4,6.658858105699911
2025-11-14 01:01:17.240524,6.6,53.5,136362285,1807363769,0.0,0.0,40.300000000000004,6.688604611476207
2025-11-14 01:01:19.253410,6.5,53.4,136363840,1807364706,0.0,0.0,38.8,6.659378236108989
2025-11-14 01:01:21.266392,7.8,53.5,136364543,1807364967,0.0,0.0,64.8,6.6963074951534995
2025-11-14 01:01:23.278468,5.1,53.5,136365247,1807365228,0.0,0.0,32.699999999999996,6.6600222070916555
2025-11-14 01:01:25.290251,5.9,53.5,136366150,1807365860,0.0,0.0,31.0,6.688877060738104
2025-11-14 01:01:27.299586,5.9,53.4,136366352,1807366097,0.0,0.0,34.1,6.656034540622061
2025-11-14 01:01:29.311898,8.2,53.5,136367045,1807366506,0.0,0.0,60.900000000000006,6.694524190893804
2025-11-14 01:01:31.324247,5.0,53.4,136367045,1807366506,0.0,0.0,33.3,6.658412279634987
2025-11-14 01:01:33.336775,5.7,53.5,136367695,1807366701,0.0,0.0,31.1,6.687440510084461
2025-11-14 01:01:35.348909,6.7,53.5,136371597,1807374557,0.0,0.0,37.2,6.658585656438013
2025-11-14 01:01:37.360683,7.6,53.5,136372392,1807376741,0.0,0.0,58.199999999999996,6.695514915482523
2025-11-14 01:01:39.373276,12.0,53.5,136373266,1807379405,0.0,0.0,46.9,6.661731207007196
2025-11-14 01:01:41.383328,9.2,53.5,136374168,1807381544,0.0,0.0,41.9,6.6637621924140715
2025-11-14 01:01:43.393746,6.9,53.3,136376784,1807382446,0.0,0.0,35.2,6.636145744503522
2025-11-14 01:01:45.402869,6.1,53.4,136376931,1807383134,0.0,0.0,35.6,6.660146047665246
2025-11-14 01:01:47.412313,9.9,53.4,136377851,1807383524,0.0,0.0,68.9,6.6702762065849
2025-11-14 01:01:49.421463,5.8,53.4,136378552,1807384553,0.0,0.0,34.400000000000006,6.6633163663491475
2025-11-14 01:01:51.430908,7.2,53.4,136379990,1807385029,0.0,0.0,35.6,6.695341538679497
2025-11-14 01:01:53.441117,6.7,53.4,136380640,1807385224,0.0,0.0,37.2,6.690908046144979
2025-11-14 01:01:55.451351,7.5,53.4,136380842,1807385597,0.0,0.0,65.6,6.698437553019245
2025-11-14 01:01:57.462034,7.5,53.4,136382331,1807386158,0.0,0.0,40.4,6.694474654664368
2025-11-14 01:01:59.472863,6.5,53.4,136382331,1807386372,0.0,0.0,34.9,6.693310553272624
2025-11-14 01:02:01.483388,5.8,53.4,136384551,1807386372,0.0,0.0,37.5,6.664232786593713
2025-11-14 01:02:03.493404,7.0,53.4,136389419,1807386762,0.0,0.0,49.699999999999996,6.6975459008893985
2025-11-14 01:02:05.504424,7.5,53.4,136390119,1807387264,0.0,0.0,37.2,6.666585757491921
2025-11-14 01:02:07.514713,8.9,53.4,136392681,1807388211,0.0,0.0,43.8,6.667551713965922
2025-11-14 01:02:09.525167,9.5,53.4,136393718,1807388894,0.0,0.0,32.6,6.6635392793816095
