timestamp,total_system_cpu_percent,total_system_memory_percent,network_bytes_sent,network_bytes_recv,app_A_cpu_percent,app_A_memory_percent,app_B_cpu_percent,app_B_memory_percent
2025-11-14 00:47:07.574826,5.8,44.6,131067499,1713326622,0.0,0.0,0.0,0.0
2025-11-14 00:47:09.586601,3.9,44.5,131070586,1713327677,0.0,0.0,0.0,0.0
2025-11-14 00:47:11.595247,4.5,44.5,131073267,1713328842,0.0,0.0,0.0,0.0
2025-11-14 00:47:13.607216,4.1,44.5,131075642,1713330039,0.0,0.0,0.0,0.0
2025-11-14 00:47:15.618672,3.4,44.5,131077150,1713330534,0.0,0.0,0.0,0.0
2025-11-14 00:47:17.630283,2.4,44.5,131078837,1713331017,0.0,0.0,0.0,0.0
2025-11-14 00:47:19.642552,4.1,44.5,131081874,1713332082,0.0,0.0,0.0,0.0
2025-11-14 00:47:21.650960,7.7,44.6,131097257,1713355012,0.0,0.0,0.0,0.0
2025-11-14 00:47:23.662515,4.9,44.6,131106782,1713356005,0.0,0.0,0.0,0.0
2025-11-14 00:47:25.671486,3.0,44.6,131110694,1713364397,0.0,0.0,0.0,0.0
2025-11-14 00:47:27.682495,4.9,44.6,131114429,1713365536,0.0,0.0,0.0,0.0
2025-11-14 00:47:29.694257,7.1,44.6,131128606,1713375089,0.0,0.0,0.0,0.0
2025-11-14 00:47:31.703147,5.3,44.6,131140632,1713384118,0.0,0.0,0.0,0.0
2025-11-14 00:47:33.715302,8.8,44.8,131195849,1713434232,0.0,0.0,0.0,0.0
2025-11-14 00:47:35.724333,5.5,44.8,131213736,1713450374,0.0,0.0,0.0,0.0
2025-11-14 00:47:37.736496,6.3,44.9,131218126,1713451711,0.0,0.0,0.0,0.0
2025-11-14 00:47:39.748678,10.5,44.7,131221962,1713452843,0.0,0.0,0.0,0.0
2025-11-14 00:47:41.760306,4.8,44.8,131231113,1713468734,0.0,0.0,0.0,0.0
2025-11-14 00:47:43.771673,4.9,44.8,131246691,1713483635,0.0,0.0,0.0,0.0
2025-11-14 00:47:45.782884,4.2,44.7,131247351,1713483967,0.0,0.0,0.0,0.0
2025-11-14 00:47:47.792147,5.7,44.7,131251325,1713485032,0.0,0.0,0.0,0.0
2025-11-14 00:47:49.801663,5.4,44.8,131325295,1713488152,0.0,0.0,0.0,0.0
2025-11-14 00:47:51.813089,10.5,44.7,131338269,1713490125,0.0,0.0,0.0,0.0
2025-11-14 00:47:53.825605,6.2,44.8,131345291,1713499625,0.0,0.0,0.0,0.0
2025-11-14 00:47:55.837526,3.4,44.7,131350531,1713500489,0.0,0.0,0.0,0.0
2025-11-14 00:47:57.847003,7.0,44.8,131358595,1713501843,0.0,0.0,0.0,0.0
2025-11-14 00:47:59.857897,3.4,44.7,131361667,1713502807,0.0,0.0,0.0,0.0
2025-11-14 00:48:01.867107,5.1,44.8,131375934,1713512250,0.0,0.0,0.0,0.0
2025-11-14 00:48:03.879596,6.1,44.8,131390071,1713521845,0.0,0.0,0.0,0.0
2025-11-14 00:48:05.891750,5.4,44.8,131460935,1713530836,0.0,0.0,0.0,0.0
2025-11-14 00:48:07.904135,3.5,44.8,131462434,1713531892,0.0,0.0,0.0,0.0
2025-11-14 00:48:09.912319,10.2,44.8,131464826,1713532774,0.0,0.0,0.0,0.0
